customer_id,purchase_date,product_price,quantity,total_purchase_amount,age,returns,customer_name,churn,recency_days,frequency,monetary_value,avg_order_value,return_rate,year,month,dayofweek,hour,product_category_Clothing,product_category_Electronics,product_category_Home,payment_method_Credit Card,payment_method_PayPal,gender_Male
6,2020-01-07 08:05:15,275.0,5.0,2541.0,34.0,0,Andrea Rodriguez,0,1345.0,9,25428.0,2825.3333333333335,0.5555555555555556,2020.0,1.0,1.0,8.0,False,False,True,True,False,False
6,2020-03-27 21:51:38,324.0,3.0,616.0,34.0,0,Andrea Rodriguez,0,1264.0,9,25428.0,2825.3333333333335,0.5555555555555556,2020.0,3.0,4.0,21.0,True,False,False,False,False,False
6,2020-09-01 13:44:25,479.0,4.0,4461.0,34.0,1,Andrea Rodriguez,0,1107.0,9,25428.0,2825.3333333333335,0.5555555555555556,2020.0,9.0,1.0,13.0,False,True,False,True,False,False
6,2020-09-12 09:31:42,487.0,4.0,763.0,34.0,0,Andrea Rodriguez,0,1096.0,9,25428.0,2825.3333333333335,0.5555555555555556,2020.0,9.0,5.0,9.0,True,False,False,True,False,False
6,2020-12-04 13:47:39,211.0,1.0,1977.0,34.0,0,Andrea Rodriguez,0,1013.0,9,25428.0,2825.3333333333335,0.5555555555555556,2020.0,12.0,4.0,13.0,False,False,True,False,True,False
6,2022-01-01 09:35:50,92.0,1.0,3897.0,34.0,1,Andrea Rodriguez,0,620.0,9,25428.0,2825.3333333333335,0.5555555555555556,2022.0,1.0,5.0,9.0,False,False,False,False,True,False
6,2022-11-19 01:01:02,409.0,2.0,4694.0,34.0,1,Andrea Rodriguez,0,298.0,9,25428.0,2825.3333333333335,0.5555555555555556,2022.0,11.0,5.0,1.0,False,False,False,False,True,False
6,2023-03-25 03:51:56,451.0,2.0,3998.0,34.0,1,Andrea Rodriguez,0,172.0,9,25428.0,2825.3333333333335,0.5555555555555556,2023.0,3.0,5.0,3.0,False,True,False,True,False,False
6,2023-04-26 08:29:49,241.0,5.0,2481.0,34.0,1,Andrea Rodriguez,0,140.0,9,25428.0,2825.3333333333335,0.5555555555555556,2023.0,4.0,2.0,8.0,True,False,False,False,True,False
7,2020-04-02 17:09:46,120.0,4.0,149.0,22.0,0,Scott Williams,1,1259.0,8,17825.0,2228.125,0.375,2020.0,4.0,3.0,17.0,False,False,False,False,False,True
7,2021-09-21 20:56:16,118.0,5.0,1262.0,22.0,1,Scott Williams,1,721.0,8,17825.0,2228.125,0.375,2021.0,9.0,1.0,20.0,True,False,False,True,False,True
7,2021-12-23 11:08:01,26.0,4.0,2492.0,22.0,0,Scott Williams,1,629.0,8,17825.0,2228.125,0.375,2021.0,12.0,3.0,11.0,False,False,False,True,False,True
7,2022-01-03 13:37:53,193.0,2.0,1868.0,22.0,0,Scott Williams,1,618.0,8,17825.0,2228.125,0.375,2022.0,1.0,0.0,13.0,False,False,False,True,False,True
7,2022-08-12 19:02:07,128.0,2.0,3155.0,22.0,1,Scott Williams,1,396.0,8,17825.0,2228.125,0.375,2022.0,8.0,4.0,19.0,False,False,False,False,False,True
7,2022-11-24 03:10:20,267.0,4.0,3329.0,22.0,1,Scott Williams,1,293.0,8,17825.0,2228.125,0.375,2022.0,11.0,3.0,3.0,False,False,True,False,True,True
7,2022-12-25 18:02:44,246.0,4.0,978.0,22.0,0,Scott Williams,1,262.0,8,17825.0,2228.125,0.375,2022.0,12.0,6.0,18.0,False,True,False,True,False,True
7,2023-04-24 22:16:48,191.0,3.0,4592.0,22.0,0,Scott Williams,1,141.0,8,17825.0,2228.125,0.375,2023.0,4.0,0.0,22.0,False,True,False,True,False,True
10,2020-08-07 05:14:13,284.0,2.0,4272.0,49.0,0,Thomas Carr,0,1132.0,8,20672.0,2584.0,0.25,2020.0,8.0,4.0,5.0,False,True,False,False,False,False
10,2022-01-31 00:29:16,413.0,4.0,994.0,49.0,0,Thomas Carr,0,590.0,8,20672.0,2584.0,0.25,2022.0,1.0,0.0,0.0,False,True,False,True,False,False
10,2022-04-06 21:29:32,312.0,5.0,1384.0,49.0,1,Thomas Carr,0,524.0,8,20672.0,2584.0,0.25,2022.0,4.0,2.0,21.0,False,False,False,False,False,False
10,2022-07-06 12:30:15,113.0,5.0,4841.0,49.0,0,Thomas Carr,0,434.0,8,20672.0,2584.0,0.25,2022.0,7.0,2.0,12.0,False,False,False,False,False,False
10,2023-02-16 01:17:01,191.0,3.0,1163.0,49.0,0,Thomas Carr,0,209.0,8,20672.0,2584.0,0.25,2023.0,2.0,3.0,1.0,False,True,False,True,False,False
10,2023-03-28 00:26:47,437.0,3.0,4086.0,49.0,0,Thomas Carr,0,169.0,8,20672.0,2584.0,0.25,2023.0,3.0,1.0,0.0,False,True,False,False,False,False
10,2023-04-24 10:51:09,50.0,2.0,1297.0,49.0,0,Thomas Carr,0,142.0,8,20672.0,2584.0,0.25,2023.0,4.0,0.0,10.0,False,False,False,False,True,False
10,2023-05-06 04:06:27,182.0,2.0,2635.0,49.0,1,Thomas Carr,0,130.0,8,20672.0,2584.0,0.25,2023.0,5.0,5.0,4.0,False,True,False,False,False,False
14,2021-10-27 10:11:54,358.0,5.0,2589.0,42.0,0,Alexis Hernandez,0,686.0,5,14119.0,2823.8,0.2,2021.0,10.0,2.0,10.0,False,False,False,True,False,True
14,2021-11-16 06:46:52,69.0,5.0,2227.0,42.0,0,Alexis Hernandez,0,666.0,5,14119.0,2823.8,0.2,2021.0,11.0,1.0,6.0,False,True,False,True,False,True
14,2022-07-01 03:49:21,430.0,3.0,4284.0,42.0,0,Alexis Hernandez,0,439.0,5,14119.0,2823.8,0.2,2022.0,7.0,4.0,3.0,False,True,False,True,False,True
14,2022-08-05 06:20:10,225.0,1.0,4603.0,42.0,0,Alexis Hernandez,0,404.0,5,14119.0,2823.8,0.2,2022.0,8.0,4.0,6.0,True,False,False,False,False,True
14,2022-12-24 13:58:40,360.0,1.0,416.0,42.0,1,Alexis Hernandez,0,263.0,5,14119.0,2823.8,0.2,2022.0,12.0,5.0,13.0,False,False,False,True,False,True
15,2020-05-27 00:15:54,319.0,2.0,2374.0,38.0,1,James Fisher,1,1204.0,5,16533.0,3306.6,0.6,2020.0,5.0,2.0,0.0,False,True,False,False,False,True
15,2020-10-19 13:23:54,151.0,4.0,2671.0,38.0,1,James Fisher,1,1059.0,5,16533.0,3306.6,0.6,2020.0,10.0,0.0,13.0,False,True,False,True,False,True
15,2022-12-16 03:51:01,348.0,2.0,3147.0,38.0,0,James Fisher,1,271.0,5,16533.0,3306.6,0.6,2022.0,12.0,4.0,3.0,False,False,True,False,True,True
15,2023-06-10 00:14:08,95.0,4.0,5066.0,38.0,0,James Fisher,1,95.0,5,16533.0,3306.6,0.6,2023.0,6.0,5.0,0.0,False,False,False,False,True,True
15,2023-06-24 18:38:14,281.0,1.0,3275.0,38.0,1,James Fisher,1,81.0,5,16533.0,3306.6,0.6,2023.0,6.0,5.0,18.0,True,False,False,False,True,True
19,2020-03-08 07:01:33,483.0,4.0,4182.0,37.0,1,Janet Rivers,0,1284.0,5,12232.0,2446.4,0.6,2020.0,3.0,6.0,7.0,False,False,True,False,True,True
19,2021-09-06 14:27:16,333.0,3.0,1741.0,37.0,1,Janet Rivers,0,737.0,5,12232.0,2446.4,0.6,2021.0,9.0,0.0,14.0,False,False,True,False,False,True
19,2021-09-07 10:48:56,52.0,2.0,3493.0,37.0,0,Janet Rivers,0,736.0,5,12232.0,2446.4,0.6,2021.0,9.0,1.0,10.0,False,True,False,False,False,True
19,2022-02-02 11:03:35,176.0,4.0,1301.0,37.0,0,Janet Rivers,0,588.0,5,12232.0,2446.4,0.6,2022.0,2.0,2.0,11.0,False,False,True,True,False,True
19,2022-04-13 22:24:09,107.0,2.0,1515.0,37.0,1,Janet Rivers,0,517.0,5,12232.0,2446.4,0.6,2022.0,4.0,2.0,22.0,True,False,False,False,True,True
20,2020-09-26 12:05:38,158.0,1.0,4934.0,42.0,1,Mike Parks DVM,0,1082.0,4,17443.0,4360.75,0.5,2020.0,9.0,5.0,12.0,False,False,False,False,False,True
20,2021-12-12 07:25:23,179.0,4.0,4928.0,42.0,0,Mike Parks DVM,0,640.0,4,17443.0,4360.75,0.5,2021.0,12.0,6.0,7.0,True,False,False,True,False,True
20,2022-04-30 20:41:43,389.0,1.0,4526.0,42.0,1,Mike Parks DVM,0,500.0,4,17443.0,4360.75,0.5,2022.0,4.0,5.0,20.0,False,False,True,False,False,True
20,2023-06-29 09:57:32,292.0,4.0,3055.0,42.0,0,Mike Parks DVM,0,76.0,4,17443.0,4360.75,0.5,2023.0,6.0,3.0,9.0,True,False,False,False,True,True
28,2020-07-26 01:55:12,490.0,5.0,5062.0,56.0,0,Laura Walls,0,1144.0,4,16765.0,4191.25,0.25,2020.0,7.0,6.0,1.0,True,False,False,False,True,True
28,2020-11-09 23:17:29,347.0,3.0,1319.0,56.0,1,Laura Walls,0,1037.0,4,16765.0,4191.25,0.25,2020.0,11.0,0.0,23.0,True,False,False,False,True,True
28,2021-06-20 11:51:33,404.0,3.0,5195.0,56.0,0,Laura Walls,0,815.0,4,16765.0,4191.25,0.25,2021.0,6.0,6.0,11.0,True,False,False,True,False,True
