customer_id,purchase_date,product_category,product_price,quantity,total_purchase_amount,payment_method,age,returns,customer_name,gender,churn
44605,03-05-2023 21:30,Home,177,1,2427,PayPal,31,1,John Rivera,Female,0
44605,16-05-2021 13:57,Electronics,174,3,2448,PayPal,31,1,John Rivera,Female,0
44605,13-07-2020 06:16,Books,413,1,2345,Credit Card,31,1,John Rivera,Female,0
44605,17-01-2023 13:14,Electronics,396,3,937,Cash,31,0,John Rivera,Female,0
44605,01-05-2021 11:29,Books,259,4,2598,PayPal,31,1,John Rivera,Female,0
13738,25-08-2022 06:48,Home,191,3,3722,Credit Card,27,1,Lauren Johnson,Female,0
13738,25-07-2023 05:17,Electronics,205,1,2773,Credit Card,27,0,Lauren Johnson,Female,0
13738,05-02-2023 19:31,Books,370,5,1486,Cash,27,1,Lauren Johnson,Female,0
13738,21-12-2021 03:29,Home,12,2,2175,Cash,27,0,Lauren Johnson,Female,0
13738,09-02-2023 00:53,Electronics,40,4,4327,Cash,27,0,Lauren Johnson,Female,0
33969,28-02-2023 19:58,Clothing,410,3,5018,Credit Card,27,0,Carol Allen,Male,0
33969,05-01-2023 11:15,Home,304,1,3883,PayPal,27,1,Carol Allen,Male,0
33969,18-07-2023 23:36,Books,54,2,4187,PayPal,27,0,Carol Allen,Male,0
33969,20-12-2021 23:44,Electronics,428,4,2289,Cash,27,0,Carol Allen,Male,0
33969,07-03-2020 21:31,Books,281,1,3810,Cash,27,0,Carol Allen,Male,0
33969,21-07-2022 04:25,Home,193,2,3198,Credit Card,27,0,Carol Allen,Male,0
33969,05-07-2023 15:01,Clothing,473,3,2881,Credit Card,27,1,Carol Allen,Male,0
42650,18-10-2020 23:38,Books,127,5,3347,Cash,20,0,Curtis Smith,Female,0
42650,17-05-2020 17:02,Home,284,2,3531,Credit Card,20,1,Curtis Smith,Female,0
42650,18-03-2022 13:52,Electronics,256,2,3548,Credit Card,20,0,Curtis Smith,Female,0
42650,21-04-2021 07:58,Clothing,252,2,1775,Credit Card,20,1,Curtis Smith,Female,0
42650,26-01-2022 12:50,Electronics,105,2,3721,Credit Card,20,0,Curtis Smith,Female,0
42650,11-11-2020 07:19,Electronics,193,2,3266,PayPal,20,1,Curtis Smith,Female,0
42650,29-04-2023 23:31,Home,43,1,2312,Cash,20,0,Curtis Smith,Female,0
42650,04-07-2022 16:04,Home,30,5,642,PayPal,20,1,Curtis Smith,Female,0
42650,01-08-2021 05:27,Electronics,30,3,5024,Credit Card,20,1,Curtis Smith,Female,0
42650,24-05-2020 06:45,Electronics,307,3,973,PayPal,20,0,Curtis Smith,Female,0
42650,24-03-2022 00:05,Electronics,254,1,3865,PayPal,20,0,Curtis Smith,Female,0
42650,02-09-2022 04:00,Books,12,3,3112,Cash,20,1,Curtis Smith,Female,0
42650,14-11-2021 10:23,Books,66,3,250,PayPal,20,1,Curtis Smith,Female,0
24053,17-11-2020 13:14,Electronics,102,2,5206,Credit Card,53,1,Jose Green,Male,0
24053,07-05-2021 09:54,Books,187,5,629,PayPal,53,1,Jose Green,Male,0
24053,07-09-2022 05:06,Books,86,1,843,Credit Card,53,1,Jose Green,Male,0
24053,05-07-2020 06:30,Electronics,364,3,1008,Credit Card,53,0,Jose Green,Male,0
24053,11-01-2022 10:56,Books,210,2,4567,Credit Card,53,0,Jose Green,Male,0
19676,12-01-2022 22:49,Clothing,304,3,4869,PayPal,57,1,Linda Lee,Male,0
19676,26-06-2021 23:49,Electronics,329,1,3391,Cash,57,1,Linda Lee,Male,0
19676,30-06-2022 06:11,Clothing,306,4,1712,Credit Card,57,1,Linda Lee,Male,0
19676,20-04-2020 14:08,Electronics,165,5,603,Credit Card,57,0,Linda Lee,Male,0
19676,23-03-2021 17:36,Electronics,218,4,2866,PayPal,57,0,Linda Lee,Male,0
19917,16-05-2023 01:34,Clothing,392,3,1378,Credit Card,34,0,Joshua Davis,Male,1
19917,27-10-2021 16:25,Clothing,238,3,1760,Credit Card,34,0,Joshua Davis,Male,1
19917,09-12-2021 07:43,Books,174,5,4517,Credit Card,34,0,Joshua Davis,Male,1
19917,18-10-2022 22:58,Electronics,41,2,743,Cash,34,0,Joshua Davis,Male,1
16051,20-08-2021 23:25,Books,118,2,3672,Cash,45,0,Ellen Kent,Male,0
16051,14-02-2020 04:47,Clothing,14,4,2733,PayPal,45,0,Ellen Kent,Male,0
16051,28-11-2021 19:39,Home,424,1,631,Cash,45,0,Ellen Kent,Male,0
16051,30-10-2020 10:38,Clothing,351,5,716,PayPal,45,0,Ellen Kent,Male,0
16051,25-11-2020 09:05,Clothing,89,1,3577,PayPal,45,1,Ellen Kent,Male,0
16051,13-09-2020 15:30,Home,287,3,3908,Cash,45,0,Ellen Kent,Male,0
16051,29-08-2021 21:13,Home,400,3,4889,Cash,45,1,Ellen Kent,Male,0
16051,19-04-2022 10:30,Clothing,22,2,4490,Credit Card,45,1,Ellen Kent,Male,0
16051,31-05-2020 20:52,Home,23,1,3820,Credit Card,45,0,Ellen Kent,Male,0
